 STOCKS VALORIZADOS POR ALMACEN - LINEAS 


*OPEN COMB SYSTEMS

**MARKET

COD. LINEA,LINEA,COD. PRODUCTO,PRODUCTO,COD. UNIDAD,STOCK-TOTAL,COSTO,VALOR-TOTAL
000027,LAVADO,000000000SL20 ,SERVICIO DE LAVADO ,01 ,-1.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL21 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL22 ,SERVICIO DE LAVADO ,01 ,-1.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL23 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL24 ,SERVICIO DE LAVADO ,01 ,-2.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL25 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL26 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL27 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL28 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL29 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL30 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL31 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL32 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL33 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL34 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL35 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL36 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL37 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL38 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL39 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL40 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL41 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL42 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL43 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL44 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000031,AGUA,000000000AS02 ,AGUA SAN LUIS ,UNI ,4.0000 ,16.101695 ,64.4067800000
29    ,GAS DOMESTICO,000000000GD01 ,GLP-GAS DOMESTICO ,0KL ,29.0000 ,25.458966 ,738.3100140000
     TOTAL-MARKET: 0.0000

**COMBUSTIBLE
0000CO,COMBUSTIBLE LIQUIDO,11620301 ,GASOHOL 84 ,GLN ,-2731.0790 ,7.728203 ,-21106.3329210370
0000CO,COMBUSTIBLE LIQUIDO,11620302 ,GASOHOL 90 ,GLN ,-11438.5990 ,7.850102 ,-89794.1688870980
0000CO,COMBUSTIBLE LIQUIDO,11620303 ,GASOHOL 97 ,GLN ,0.0000 ,0.000000 ,0.0000000000
0000CO,COMBUSTIBLE LIQUIDO,11620304 ,DIESEL B5 S50 ,GLN ,-76397.4600 ,7.992199 ,-610583.7034145400
0000CO,COMBUSTIBLE LIQUIDO,11620305 ,GASOHOL 95 ,GLN ,0.0000 ,0.000000 ,0.0000000000
0000CO,COMBUSTIBLE LIQUIDO,11620306 ,KEROSENE ,GLN ,0.0000 ,0.000000 ,0.0000000000
0000GL,COMBUSTIBLE GLP,11620307 ,GAS LICUADO DE PETROLEO ,LTS ,-236806.6500 ,1.120409 ,-265320.3019198500

     TOTAL-ALMACEN-OPEN COMB SYSTEMS  -911,545.2996
